x1,x2
1.135380,-0.989322
1.132061,-0.999887
1.131041,-1.007584
1.127123,-1.010452
1.122399,-1.021017
1.119370,-1.031582
1.118839,-1.037230
1.113815,-1.042147
1.109487,-1.052712
1.106729,-1.063277
1.106637,-1.064844
1.100592,-1.073841
1.096640,-1.084406
1.094435,-1.094546
1.093301,-1.094971
1.087454,-1.105536
1.083856,-1.116101
1.082233,-1.125540
1.079731,-1.126666
1.074397,-1.137231
1.071129,-1.147796
1.070030,-1.156234
1.066268,-1.158360
1.061418,-1.168925
1.058456,-1.179490
1.057828,-1.186315
1.052909,-1.190055
nan,nan
0.825987,1.397497
0.838189,1.395660
0.850391,1.395320
0.862593,1.395829
0.874796,1.396859
0.886998,1.398220
0.887872,1.398342
0.899200,1.399792
0.911402,1.401529
0.923604,1.403383
0.935806,1.405316
0.948009,1.407301
0.957727,1.408907
0.960211,1.409325
0.972413,1.411421
0.984615,1.413576
0.996817,1.415794
1.009019,1.418088
1.016300,1.419471
1.021222,1.420535
1.033424,1.423273
1.045626,1.426386
1.057640,1.430036
1.057828,1.430108
1.070030,1.435387
1.078717,1.440601
1.082233,1.443838
1.088319,1.451166
1.092612,1.461731
1.094314,1.472296
1.094435,1.475502
1.094666,1.482861
1.094435,1.487865
1.094231,1.493426
1.093338,1.503991
1.092141,1.514555
1.090729,1.525120
1.089147,1.535685
1.087415,1.546250
1.085537,1.556815
1.083506,1.567380
1.082233,1.573267
1.081305,1.577945
1.078890,1.588510
1.076215,1.599075
1.073229,1.609639
1.070030,1.619672
1.069860,1.620204
1.065855,1.630769
1.061121,1.641334
1.057828,1.647532
1.055230,1.651899
1.047420,1.662464
1.045626,1.664458
1.035676,1.673029
1.033424,1.674575
1.021222,1.680481
1.010192,1.683594
1.009019,1.683864
0.996817,1.685447
0.984615,1.685919
0.972413,1.685614
0.960211,1.684742
0.949624,1.683594
0.948009,1.683421
0.935806,1.681634
0.923604,1.679502
0.911402,1.677041
0.899200,1.674242
0.894580,1.673029
0.886998,1.670877
0.874796,1.666930
0.862658,1.662464
0.862593,1.662437
0.850391,1.656607
0.841809,1.651899
0.838189,1.649521
0.827248,1.641334
0.825987,1.640163
0.816946,1.630769
0.813785,1.626576
0.809386,1.620204
0.803722,1.609639
0.801583,1.604430
0.799485,1.599075
0.796331,1.588510
0.793936,1.577945
0.792145,1.567380
0.790843,1.556815
0.789939,1.546250
0.789380,1.535981
0.789364,1.535685
0.789076,1.525120
0.789007,1.514555
0.789129,1.503991
0.789380,1.494650
0.789421,1.493426
0.789896,1.482861
0.790546,1.472296
0.791402,1.461731
0.792532,1.451166
0.794072,1.440601
0.796291,1.430036
0.799741,1.419471
0.801583,1.415424
0.806270,1.408907
0.813785,1.402301
0.823295,1.398342
0.825987,1.397497
